user,rating,date,region,review
Contrisger,5,"January 28, 2020",Reviewed in the United States,"I really like the size of the Oasis, it's light and easy to handle.  The flexibility of use is phenomenal!  You can flip it to use the buttons on the left or right, or you can touch the screen on the left or right, or you can swipe.  Setting the font to a size you're comfortable with is simple.  I've had no problems reading in the bright light of day or the darkness of evening.  The battery goes and goes and goes.  It came with three months of Kindle Unlimited and I will definitely be continuing the subscription when that runs out. It is terrific to be able to read the same book on my Kindle or my phone or my tablet and have the app keep track of where I'm at, even if I'm listening to the audio book in my car and wanting to switch back to reading at home.  The waterproof feature is neat but I haven't had occasion to try that out yet, maybe next summer at the beach.  It was a little pricey but so far it seems to be worth it."
Marcos Yturri,1,"April 1, 2021",Reviewed in the United States,"First things first: don’t buy this under Amazon’s trade-in program. Although Amazon states that you’ll get 20% off on a new kindle, that’s a lie. I was not given 20% off this brick, I was given 20% off an Echo. If I had known that the ad for 20% wasn’t going to be toward a new kindle, I would have kept my old Paperwhite.  Despite going back and forth with Amazon and pointing out that the website clearly states it’s off the kindle...well, their response was basically “sorry, nope, we lie.”Secondly, I love ebooks. I’ve purchased hundreds. As much as I’d love to keep doing that, this thing won’t connect to the WiFi in my home. No other device has a problem connecting. Amazon’s chatbot is as helpful as Roy from The IT Crowd in resolving the issue.Anyway, Kobo’s Libra does everything this can do for $100 less. I’ll be returning this brick and buying one of those."
Alisha T,4,"June 21, 2020",Reviewed in the United States,The only issue I have is you can't immersion read... You can't listen to audiobooks while also reading. I really miss that feature since I got use to it on the kindle app on mobile.  I also feel for the price your pay for the Oasis it should definitely be a feature that's why 4 stars instead of 5. I am hoping at some point kindle will upgrade this feature  I have had the kindle fire but the kindle Oasis is definitely a better option for the avid reader . I enjoy that it doesn't let you do much else but read. That way I won't get distracted by web browser and game play or apps. It's like carrying a million books in one hand. It really holds alot. I get constantly ask what the device is and people are always impressed with it . I like sleek and light weight feel.
Erin Nicole Hollingsworth,5,"October 22, 2020",Reviewed in the United States,"Absolutely love the warm light with this kindle! My eyes are dry and I have trouble seeing even with glasses. I keep my phone and laptop on dark or warm mode, and when I saw this kindle had warm mode I knew I had to have it! The warm mode is very nice and soothing to my eyes. I don’t even feel like I’m reading on a screen. My old kindle paperwhite I’ve had for almost 8 years and I just decided it was time for a new one. I also love that I can use the Libby app on my phone, check out ebooks from my local library, and send them directly to my kindle. I also enjoy the buttons and that the screen flips depending on how I want to hold it. The battery life has been amazing and so far I’ve already read several books on a single charge. I haven’t tested the water resistance yet and hopefully I won’t have to. Overall very pleased with my purchase and have no complaints as of right now."
Will,5,"January 5, 2021",Reviewed in the United States,I debated about getting a kindle for quite a while. I thought I would miss the feel of a regular book. Now that I have a Kindle Oasis I absolutely love it. It has so many great features. Not only does it have a built in dictionary but it has a feature called X-ray that lets you look up characters in the book and get information about them. There are also so many other nice features. I was also pleasantly surprised to learn that most of the books I want to read are available in ebook format from my local library through an app called Overdrive. It’s so convenient no more trips to the library to get and return books. I tried a free three month subscription to Kindle unlimited but I’m not going to continue it. As I said I can get most of the book I want to read through my library plus if I do want to purchase an ebook they are very inexpensive.I chose an Oasis after doing a lot of research and I’m very glad I did. It’s was worth the increase in price over the paper white.
Kindle Customer,1,"March 25, 2021",Reviewed in the United States,"The Kindle Oasis, which I received a few days ago is such a disappointment. My Kindle Fire stopped connecting to the internet and since I need that to order new books, I decided to ""upgrade"". NOT. The Oasis is a step down, not particularly user friendly, and a waste of money. Why make changes that don't need to be done. Silk is OK, scrolling with my fire was much better than tuning pages, why put buttons on the Oasis when a touch on the screen will do the job. I read a lot and often have 2 books going.I read the user manual and have a book on Oasis, but I find I get on an old Paperwhite to do much of my reading and reading several things on the internet. Live and learn. My first disappointment with Amazon."
Linda Napoli,4,"September 28, 2020",Reviewed in the United States,"First of all, I really love this Kindle.  The Oasis is everything is claims to be with one exception.  The screen brightness can be turned down (I like it at 0 since I do not like to read with a back lit display) and the temperature (color) is a wonderful feature.  It makes it feel more like a real book.The ONE area where I am disappointed is the the battery life.  All things considered, the battery life is good.  I can probably get through two novels on one charge, but from what I had read, I expected a week of battery life, not two days.  I read one novel on a full battery charge which took me about 8 hours.  I turned off the screen when I stopped (I have two kids, so I get interrupted a lot) and had the brightness almost all the way down most of the time.  When I was done with the book, I had 51% battery life left.  Like I said, this is not bad, but not quite what I had expected.Overall, I am really enjoying it.  I'm happy I got it and happy I paid extra for the larger memory option and making it ad-free."
ila b,1,"January 25, 2021",Reviewed in the United States,"original NEW Oasis had issues when i had it just for one month - with freezing when attempting to open a downloaded book, 2nd replacement was a refurbished edition - returned that, then replacement of a NEW Oasis arrived - this one made it 4 days before problems -  adjustable light constantly changed, (yes, you can set the light you want it to be at - but this model changed the light all the time),  then the whole screen went a black/grey color, and decided that Oasis is not for me.  did like the size, weight and style of the Oasis - but none of that makes up for the lack of being able to use it."
Bret,1,"July 17, 2020",Reviewed in the United States,I received the 10th gen Kindle Oasis today. And just like my 9th gen Kindle Oasis I can't update the software. The option to check for an update is grayed out. Meaning you can no longer request it you just have to wait till they do it. I don't know when 5.13.1 was released but I use my 9th gen every single day and check every single day for the update which it won't allow me to do and both the old device that is 3 years old shows 5.12.3 with no options upgrade either device. I've contacted customer support who was of no help basically telling me that I can manually update the device I just received today or return it within 30 days. Why would anyone this day and age with over the air updates for all devices including refrigerators want to pay $260 plus dollars for something that had outdated software on it with no option but to manually sit down at a computer and do it yourself. I recently purchased a boox poke 2 and I'm waiting on the shipment. I'm very excited because so far it seems superior in many ways and will allow me to read my Kindle library which at this point I would gladly abandon.
VERONICA,3,"February 4, 2020",Reviewed in the United States,"Do the people who create new Kindle versions actually read books on them?1. Biggest problem:  I am 73 and a voracious reader.  My fingers and hands also have some arthritis.  It is hard to hold this new Kindle Oasis because there are no places to hold it without unwittingly touching the screen and thus turning the page.  The Oasis does have one Side with the page turning buttons which makes easier to hold on the right side.  Thus I don't understand why a side can't be bigger on the left.  THE COVERS AVAILABLE DO NOT ADDRESS THIS PROBLEM.2. Second problem:Sorting Feature-  I have over a thousand books on the device or in the cloud.  I like Collections, but they are not easy to retrieve.  I have to page through 70 pages to get to Woods, Stuart.  Especially when trying to add books to a collection3. Third problem: Receiving books I have ordered months earlier.  Today, I knew I should have JD Robb's newest IN Death.  However it was not on my home screen like before, when books would be delivered seamlessly.  When I went to Recent -Unread, it still wasn't there.  I had to go to the store.  Look it up.  It told me I had purchased it today, but I had to download it from the store page.I SICERELY HOPE SOMEONE WITH AUTHORITY READS THIS AND DOES SOMETHING TO MAKE THE KINDLE BETTER."
Kirsten,5,"December 27, 2020",Reviewed in the United States,"Your browser does not support HTML5 video.


   I've been a long term kindle user, but never a kindle owner. I personally LOVE books, especially physical ones I can feel, flip, store. But I enjoy nighttime reading, and the light from an electronic is less intrusive (and easier when traveling!!) So when the opportunity came to possess my very own kindle, I was ecstatic.  It is everything I always wanted! It is lightweight, durable, easy to use, and has a stupidly long battery life!I have seen multiple comments about the fact this ""updated"" kindle uses an outdated charging source, but I don't personally see the fuss. It charges well overnight, and honestly unless you are reading every day, 9+ hours a day you won't really notice anything.I personally LOVE the page turning button, and the fact you can switch which button does what. AND that no matter which way you flip your kindle, the top button still functions as a top button. (Read one of the other reviews, a delightful woman goes into this feature more with a video!)If you are looking to buy a kindle, I highly recommend this one. And I agree witb others, if you're already splurging,  go in for the 32 not the 8. You'll thank us later."
Douglas Meyer,5,"August 28, 2019",Reviewed in the United States,I really love this Kindle device in that it's light weight with a long lasting battery as long as you don't have the backlit screen cranked all the way up. On a setting of 25% ~ 33% the battery should last several weeks easy. I really like the design but a case is an absolute must because it's far better and more comfortable to hold and it won't let you scratch you device. I purchased my with 32 gigs of storage and personally anything less than 32 gigs is a shame because once you start reading on this beautiful device you'll be wanting to purchase a bunch more books.
John J. Floro,5,"January 18, 2021",Reviewed in the United States,"I struggled to decide if I wanted to cough up the extra money for this e-reader, but I am so glad I did!  A few of the things I like about it are the 7"" screen, the even and adjustable lighting, and the push button or screen tap features. However, the best feature, over my previous Paperwhite, is the fast speed of the processor.  I would never think the processor speed would make the reading experience much different, but it sure does. The battery life is as described.  I have only had it a week and have been through about 2.5 books (1 of which was an Audible book) and have only recharged it once when it went down to 30%. I love this thing!"
